State,Date,Total,Category
Alabama,01/12/19,98544609,Beverages
Alabama,01/19/19,102723162,Beverages
Alabama,01/26/19,97493267,Beverages
Alabama,02/02/19,97019738,Beverages
Alabama,02/09/19,103035352,Beverages
Alabama,02/16/19,97543121,Beverages
Alabama,02/23/19,106271583,Beverages
Alabama,03/02/19,116558569,Beverages
Alabama,03/09/19,118346484,Beverages
Alabama,03/16/19,120128274,Beverages
Alabama,03/23/19,122466457,Beverages
Alabama,03/30/19,118669727,Beverages
Alabama,04/06/19,120649108,Beverages
Alabama,04/13/19,117453938,Beverages
Alabama,04/20/19,103730058,Beverages
Alabama,04/27/19,122842013,Beverages
Alabama,05/04/19,114482562,Beverages
Alabama,05/11/19,120703068,Beverages
Alabama,05/18/19,113701178,Beverages
Alabama,05/25/19,115888099,Beverages
Alabama,06/01/19,131108465,Beverages
Alabama,06/08/19,124806908,Beverages
Alabama,06/15/19,124249424,Beverages
Alabama,06/22/19,126655560,Beverages
Alabama,06/29/19,153289821,Beverages
Alabama,07/06/19,129624858,Beverages
Alabama,07/13/19,130388659,Beverages
Alabama,07/20/19,130002433,Beverages
Alabama,07/27/19,144364972,Beverages
Alabama,08/03/19,127708678,Beverages
Alabama,08/10/19,123374211,Beverages
Alabama,08/17/19,128072532,Beverages
Alabama,08/24/19,119208761,Beverages
Alabama,08/31/19,99881905,Beverages
Alabama,09/07/19,108347310,Beverages
Alabama,09/14/19,100099901,Beverages
Alabama,09/21/19,107393169,Beverages
Alabama,09/28/19,108060288,Beverages
Alabama,10/05/19,103786735,Beverages
Alabama,10/12/19,109255503,Beverages
Alabama,10/19/19,103869895,Beverages
Alabama,10/26/19,103958577,Beverages
Alabama,11/02/19,108779645,Beverages
Alabama,11/09/19,110916155,Beverages
Alabama,11/16/19,103204413,Beverages
Alabama,11/23/19,110656137,Beverages
Alabama,11/30/19,111386723,Beverages
Alabama,12/07/19,98404637,Beverages
Alabama,12/14/19,94097547,Beverages
Alabama,12/21/19,94749834,Beverages
Alabama,12/28/19,98181823,Beverages
Alabama,01/04/20,104773517,Beverages
Alabama,01/11/20,100385843,Beverages
Alabama,01/18/20,99136023,Beverages
Alabama,01/25/20,100325315,Beverages
Alabama,02/01/20,107453727,Beverages
Alabama,02/08/20,104913394,Beverages
Alabama,02/15/20,107147456,Beverages
Alabama,02/22/20,108490472,Beverages
Alabama,02/29/20,107955338,Beverages
Alabama,03/07/20,120286191,Beverages
Alabama,03/14/20,119421087,Beverages
Alabama,03/21/20,126832379,Beverages
Alabama,03/28/20,116936252,Beverages
Alabama,04/04/20,121977124,Beverages
Alabama,04/11/20,118228318,Beverages
