State,Date,Total,Category
Alabama,1/12/19,109574036,Beverages
Arizona,1/12/19,109101595,Beverages
Arkansas,1/12/19,58049432,Beverages
California,1/12/19,444766891,Beverages
Colorado,1/12/19,89816716,Beverages
Connecticut,1/12/19,49715400,Beverages
Florida,1/12/19,358112986,Beverages
Georgia,1/12/19,198967927,Beverages
Illinois,1/12/19,167913697,Beverages
Indiana,1/12/19,117489219,Beverages
Iowa,1/12/19,60702758,Beverages
Kansas,1/12/19,48255943,Beverages
Kentucky,1/12/19,91340443,Beverages
Louisiana,1/12/19,94697655,Beverages
Maine,1/12/19,25031693,Beverages
Maryland,1/12/19,89261853,Beverages
Massachusetts,1/12/19,98820411,Beverages
Michigan,1/12/19,161601849,Beverages
Minnesota,1/12/19,85728575,Beverages
Mississippi,1/12/19,37637324,Beverages
Missouri,1/12/19,101366118,Beverages
Nebraska,1/12/19,16673878,Beverages
Nevada,1/12/19,51173890,Beverages
New Hampshire,1/12/19,30014723,Beverages
New Mexico,1/12/19,34731555,Beverages
New York,1/12/19,240815212,Beverages
North Carolina,1/12/19,182341458,Beverages
Ohio,1/12/19,194452564,Beverages
Oklahoma,1/12/19,77743070,Beverages
Oregon,1/12/19,58257574,Beverages
Pennsylvania,1/12/19,197064569,Beverages
Rhode Island,1/12/19,13851887,Beverages
South Carolina,1/12/19,97713917,Beverages
South Dakota,1/12/19,14701327,Beverages
Tennessee,1/12/19,133945173,Beverages
Texas,1/12/19,472848726,Beverages
Utah,1/12/19,42799316,Beverages
Vermont,1/12/19,10140664,Beverages
Virginia,1/12/19,153170304,Beverages
Washington,1/12/19,100959342,Beverages
West Virginia,1/12/19,38228550,Beverages
Wisconsin,1/12/19,84291416,Beverages
Wyoming,1/12/19,11479225,Beverages
